x_mm,y_mm,target_force_N,actual_force_N,printer_start_utc,printer_start_epoch,printer_mid_utc,printer_mid_epoch,printer_end_utc,printer_end_epoch,eit_capture_utc,eit_capture_epoch,eit_sample_monotonic,eit_clipping,eit_channel_0,eit_channel_1,eit_channel_2,eit_channel_3,eit_channel_4,eit_channel_5,eit_channel_6,eit_channel_7,eit_channel_8,eit_channel_9,eit_channel_10,eit_channel_11,eit_channel_12,eit_channel_13,eit_channel_14,eit_channel_15,eit_channel_16,eit_channel_17,eit_channel_18,eit_channel_19,eit_channel_20,eit_channel_21,eit_channel_22,eit_channel_23,eit_channel_24,eit_channel_25,eit_channel_26,eit_channel_27,eit_channel_28,eit_channel_29,eit_channel_30,eit_channel_31,eit_channel_32,eit_channel_33,eit_channel_34,eit_channel_35,eit_channel_36,eit_channel_37,eit_channel_38,eit_channel_39,eit_channel_40,eit_channel_41,eit_channel_42,eit_channel_43,eit_channel_44,eit_channel_45,eit_channel_46,eit_channel_47,eit_channel_48,eit_channel_49,eit_channel_50,eit_channel_51,eit_channel_52,eit_channel_53,eit_channel_54,eit_channel_55,eit_channel_56,eit_channel_57,eit_channel_58,eit_channel_59,eit_channel_60,eit_channel_61,eit_channel_62,eit_channel_63,eit_channel_64,eit_channel_65,eit_channel_66,eit_channel_67,eit_channel_68,eit_channel_69,eit_channel_70,eit_channel_71,eit_channel_72,eit_channel_73,eit_channel_74,eit_channel_75,eit_channel_76,eit_channel_77,eit_channel_78,eit_channel_79,eit_channel_80,eit_channel_81,eit_channel_82,eit_channel_83,eit_channel_84,eit_channel_85,eit_channel_86,eit_channel_87,eit_channel_88,eit_channel_89,eit_channel_90,eit_channel_91,eit_channel_92,eit_channel_93,eit_channel_94,eit_channel_95,eit_channel_96,eit_channel_97,eit_channel_98,eit_channel_99,eit_channel_100,eit_channel_101,eit_channel_102,eit_channel_103,eit_channel_104,eit_channel_105,eit_channel_106,eit_channel_107,eit_channel_108,eit_channel_109,eit_channel_110,eit_channel_111,eit_channel_112,eit_channel_113,eit_channel_114,eit_channel_115,eit_channel_116,eit_channel_117,eit_channel_118,eit_channel_119,eit_channel_120,eit_channel_121,eit_channel_122,eit_channel_123,eit_channel_124,eit_channel_125,eit_channel_126,eit_channel_127,eit_channel_128,eit_channel_129,eit_channel_130,eit_channel_131,eit_channel_132,eit_channel_133,eit_channel_134,eit_channel_135,eit_channel_136,eit_channel_137,eit_channel_138,eit_channel_139,eit_channel_140,eit_channel_141,eit_channel_142,eit_channel_143,eit_channel_144,eit_channel_145,eit_channel_146,eit_channel_147,eit_channel_148,eit_channel_149,eit_channel_150,eit_channel_151,eit_channel_152,eit_channel_153,eit_channel_154,eit_channel_155,eit_channel_156,eit_channel_157,eit_channel_158,eit_channel_159,eit_channel_160,eit_channel_161,eit_channel_162,eit_channel_163,eit_channel_164,eit_channel_165,eit_channel_166,eit_channel_167,eit_channel_168,eit_channel_169,eit_channel_170,eit_channel_171,eit_channel_172,eit_channel_173,eit_channel_174,eit_channel_175,eit_channel_176,eit_channel_177,eit_channel_178,eit_channel_179,eit_channel_180,eit_channel_181,eit_channel_182,eit_channel_183,eit_channel_184,eit_channel_185,eit_channel_186,eit_channel_187,eit_channel_188,eit_channel_189,eit_channel_190,eit_channel_191
0,0,2,2.1469,2026-06-03T13:51:11.732972,1780491071.732972,2026-06-03T13:51:22.745318,1780491082.745318,2026-06-03T13:51:27.746464,1780491087.746464,2026-06-03T13:51:28.196373,1780491088.1963732,5031.25,False,0.016130000000,0.016290000000,0.001688000000,0.001581000000,0.004621000000,0.003126000000,0.009663000000,0.010450000000,0.005070000000,0.004839000000,0.004357000000,0.004788000000,0.018910000000,0.019240000000,0.010520000000,0.011010000000,0.018600000000,0.017960000000,0.001792000000,0.001746000000,0.000331800000,0.000581600000,0.000350200000,0.001409000000,0.004559000000,0.004732000000,0.000166800000,0.001546000000,0.008432000000,0.008720000000,0.007408000000,0.006206000000,0.004816000000,0.005277000000,0.019230000000,0.017410000000,0.017610000000,0.017830000000,0.000288600000,0.000090140000,0.001823000000,0.001752000000,0.003744000000,0.003513000000,0.000802400000,0.001226000000,0.019740000000,0.019460000000,0.007416000000,0.008675000000,0.000095200000,0.000514300000,0.004636000000,0.006040000000,0.013690000000,0.014060000000,0.006682000000,0.006317000000,0.007388000000,0.007674000000,0.001467000000,0.001720000000,0.000814800000,0.001218000000,0.002106000000,0.001895000000,0.003270000000,0.005536000000,0.010700000000,0.011020000000,0.015930000000,0.016720000000,0.004582000000,0.004493000000,0.000752100000,0.001933000000,0.014310000000,0.012140000000,0.004828000000,0.004650000000,0.005394000000,0.005874000000,0.008495000000,0.008963000000,0.019860000000,0.019390000000,0.001444000000,0.000651100000,0.005189000000,0.004900000000,0.001608000000,0.001158000000,0.001771000000,0.000901600000,0.001367000000,0.001619000000,0.010090000000,0.010490000000,0.005083000000,0.005044000000,0.004403000000,0.004532000000,0.016010000000,0.016680000000,0.001278000000,0.001835000000,0.004744000000,0.003514000000,0.001603000000,0.002055000000,0.000234900000,0.000284600000,0.000650100000,0.001306000000,0.018730000000,0.019180000000,0.010340000000,0.011290000000,0.018430000000,0.018140000000,0.007422000000,0.006413000000,0.004806000000,0.004928000000,0.019580000000,0.017730000000,0.004739000000,0.004864000000,0.000008839000,0.001375000000,0.008577000000,0.008876000000,0.003456000000,0.003145000000,0.000803500000,0.000994400000,0.019630000000,0.019340000000,0.017500000000,0.017810000000,0.000309400000,0.000313500000,0.001551000000,0.001663000000,0.013760000000,0.013960000000,0.007488000000,0.006182000000,0.007739000000,0.007995000000,0.007395000000,0.008438000000,0.000122800000,0.000602100000,0.004175000000,0.006243000000,0.003807000000,0.005551000000,0.011430000000,0.010910000000,0.016360000000,0.016700000000,0.001719000000,0.001733000000,0.001483000000,0.001369000000,0.001812000000,0.002114000000,0.005003000000,0.004931000000,0.005519000000,0.005615000000,0.009252000000,0.009169000000,0.004960000000,0.004089000000,0.000308700000,0.002088000000,0.013850000000,0.012310000000,0.001288000000,0.001119000000,0.001507000000,0.000407000000,0.001241000000,0.001831000000,0.020090000000,0.020080000000,0.001402000000,0.000242700000,0.005266000000,0.004856000000
0,15,2,2.202,2026-06-03T13:51:33.288117,1780491093.288117,2026-06-03T13:51:44.830378,1780491104.830378,2026-06-03T13:51:49.831356,1780491109.831356,2026-06-03T13:51:50.354958,1780491110.3549583,5053.406,False,0.016600000000,0.016480000000,0.001459000000,0.001869000000,0.004394000000,0.003250000000,0.010390000000,0.010640000000,0.004751000000,0.005652000000,0.005263000000,0.006770000000,0.019050000000,0.019740000000,0.010570000000,0.011690000000,0.018250000000,0.017900000000,0.001641000000,0.002085000000,0.000124100000,0.000530300000,0.000776100000,0.001227000000,0.004672000000,0.005150000000,0.000318300000,0.001512000000,0.008646000000,0.008744000000,0.007207000000,0.008019000000,0.006257000000,0.008558000000,0.016660000000,0.018270000000,0.017290000000,0.017630000000,0.000490100000,0.000218800000,0.001394000000,0.001988000000,0.003803000000,0.003739000000,0.000986500000,0.001341000000,0.019980000000,0.019580000000,0.007669000000,0.008575000000,0.000134900000,0.000435300000,0.003976000000,0.006000000000,0.015460000000,0.018140000000,0.003857000000,0.006920000000,0.007801000000,0.008063000000,0.002002000000,0.001349000000,0.000661900000,0.000650100000,0.003478000000,0.003324000000,0.006019000000,0.006150000000,0.011780000000,0.011800000000,0.016710000000,0.017110000000,0.005039000000,0.004410000000,0.000142500000,0.001589000000,0.014310000000,0.013560000000,0.002451000000,0.005000000000,0.006039000000,0.006007000000,0.009152000000,0.009119000000,0.018160000000,0.017430000000,0.001020000000,0.001628000000,0.009025000000,0.008851000000,0.003307000000,0.003163000000,0.003501000000,0.002589000000,0.003413000000,0.002720000000,0.010440000000,0.010890000000,0.005002000000,0.006169000000,0.005270000000,0.007340000000,0.016810000000,0.016600000000,0.001594000000,0.002275000000,0.004856000000,0.003456000000,0.001666000000,0.002091000000,0.000389800000,0.000562600000,0.000950000000,0.001048000000,0.018840000000,0.019730000000,0.010740000000,0.011560000000,0.018440000000,0.017880000000,0.007138000000,0.008213000000,0.006859000000,0.009483000000,0.015690000000,0.018350000000,0.004610000000,0.005131000000,0.000316800000,0.001734000000,0.008675000000,0.009203000000,0.003958000000,0.003540000000,0.000635000000,0.001261000000,0.019730000000,0.019580000000,0.017290000000,0.017710000000,0.000336900000,0.000426600000,0.001199000000,0.002201000000,0.015600000000,0.018930000000,0.003633000000,0.006770000000,0.008151000000,0.007969000000,0.007731000000,0.009006000000,0.000331300000,0.000336300000,0.003977000000,0.005826000000,0.006256000000,0.006639000000,0.011980000000,0.011870000000,0.016700000000,0.016920000000,0.002071000000,0.001254000000,0.000531600000,0.000336900000,0.003792000000,0.003347000000,0.001939000000,0.005209000000,0.005916000000,0.005954000000,0.009531000000,0.009289000000,0.005398000000,0.004757000000,0.000450100000,0.001844000000,0.014980000000,0.013890000000,0.003791000000,0.003401000000,0.003944000000,0.002702000000,0.003257000000,0.002620000000,0.018420000000,0.017040000000,0.001278000000,0.001994000000,0.009431000000,0.009222000000
15,1,2,2.1925,2026-06-03T13:51:55.384987,1780491115.384987,2026-06-03T13:52:10.428125,1780491130.428125,2026-06-03T13:52:15.431568,1780491135.431568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,2,2.0776,2026-06-03T13:52:20.954299,1780491140.954299,2026-06-03T13:52:34.525942,1780491154.525942,2026-06-03T13:52:39.527986,1780491159.527986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,2,2.114,2026-06-03T13:52:45.032900,1780491165.0329,2026-06-03T13:53:01.627438,1780491181.627438,2026-06-03T13:53:06.631003,1780491186.631003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,13,2,2.0996,2026-06-03T13:53:12.135603,1780491192.135603,2026-06-03T13:53:27.226065,1780491207.226065,2026-06-03T13:53:32.229215,1780491212.229215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,2,2.3309,2026-06-03T13:53:37.735154,1780491217.735154,2026-06-03T13:53:51.324337,1780491231.324337,2026-06-03T13:53:56.327047,1780491236.327047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,2,2.1733,2026-06-03T13:54:01.832277,1780491241.832277,2026-06-03T13:54:13.409655,1780491253.409655,2026-06-03T13:54:18.411606,1780491258.411606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,2,2.1343,2026-06-03T13:54:23.915897,1780491263.915897,2026-06-03T13:54:39.006525,1780491279.006525,2026-06-03T13:54:44.011691,1780491284.011691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,2,2.0905,2026-06-03T13:54:49.515290,1780491289.51529,2026-06-03T13:55:03.101088,1780491303.101088,2026-06-03T13:55:08.103763,1780491308.103763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
